1	58005
2	18786
3	9348
4	5414
5	3464
6	2383
7	1650
8	1226
9	862
10	738
11	596
12	498
13	379
14	337
15	272
16	236
17	180
18	180
19	158
20	137
21	111
22	121
23	109
24	75
25	91
26	74
27	54
28	52
29	53
30	53
31	47
32	43
33	48
34	37
35	23
36	34
37	26
38	23
39	22
40	22
41	23
42	21
43	29
44	17
45	15
46	16
47	16
48	14
49	13
50	10
51	10
52	12
53	10
54	14
55	18
56	7
57	11
58	16
59	7
60	10
61	9
62	5
63	17
64	10
65	9
66	4
67	9
68	5
69	8
70	16
71	3
72	8
73	5
74	7
75	7
76	7
77	4
78	6
79	4
80	5
81	7
82	4
83	5
84	4
85	7
86	7
87	6
88	3
89	3
90	5
91	6
92	5
93	2
94	4
95	9
96	3
97	3
98	2
99	8
100	5
101	3
102	1
103	1
104	2
105	2
106	4
107	2
108	2
109	3
111	3
114	3
115	1
116	3
117	1
119	2
120	3
121	3
123	1
124	1
125	1
126	1
127	2
128	2
129	2
130	1
131	2
132	1
133	3
134	1
135	1
136	1
138	1
139	1
141	1
144	1
145	2
146	2
147	1
148	2
149	1
150	1
152	3
158	1
161	2
163	1
164	1
165	3
168	1
169	1
170	1
173	1
178	1
179	1
183	2
184	1
185	1
186	1
187	1
189	1
190	1
192	1
193	1
195	1
196	1
197	2
200	1
203	1
204	2
205	2
207	1
217	1
218	1
224	1
235	1
243	1
246	1
253	1
255	1
257	1
270	1
280	2
281	1
296	1
303	1
311	1
317	1
322	1
327	1
363	1
371	1
386	1
422	1
444	1
460	1
466	1
495	1
559	1
