1	38493
2	12776
3	6619
4	4031
5	2767
6	1819
7	1361
8	1045
9	841
10	620
11	554
12	481
13	410
14	333
15	306
16	280
17	227
18	178
19	165
20	163
21	127
22	123
23	137
24	92
25	99
26	94
27	85
28	67
29	70
30	80
31	72
32	56
33	47
34	45
35	47
36	33
37	38
38	31
39	30
40	27
41	28
42	24
43	26
44	26
45	31
46	23
47	20
48	25
49	16
50	16
51	22
52	25
53	22
54	17
55	17
56	10
57	19
58	22
59	12
60	8
61	14
62	17
63	21
64	12
65	11
66	18
67	5
68	10
69	7
70	10
71	10
72	8
73	14
74	7
75	9
76	7
77	13
78	13
79	11
80	7
81	11
82	11
83	10
84	9
85	10
86	6
87	5
88	10
89	8
90	11
91	7
92	4
93	6
94	5
95	7
96	8
97	5
98	4
99	1
100	7
101	5
102	2
103	5
104	1
105	7
106	5
107	4
108	2
109	5
110	1
111	8
112	3
113	8
114	3
115	5
116	1
117	2
118	1
119	1
120	2
121	2
122	5
124	1
125	3
126	3
128	2
129	3
130	4
131	2
132	2
133	1
135	3
136	2
137	1
138	2
139	1
140	3
141	2
142	4
143	2
144	2
145	1
147	2
148	1
151	3
152	1
153	1
154	3
155	2
156	3
157	1
158	2
159	3
160	1
161	1
162	1
163	1
164	1
165	1
166	2
169	1
171	1
176	2
180	1
181	1
183	2
192	1
194	1
202	1
204	1
205	1
207	1
210	1
216	1
219	2
224	1
228	1
230	2
231	1
239	1
240	1
245	1
246	1
247	1
249	2
251	1
252	1
257	1
263	1
265	1
278	2
279	1
297	1
298	1
299	1
314	1
327	1
328	1
338	1
341	1
346	1
352	1
376	1
406	1
418	1
427	1
449	1
462	1
480	1
485	1
565	1
997	1
